iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[U]	scale	scale*|T|	|A|	|T|	|indels|	posterior	prior
17	-2837.7230104912123	60	720	2.387795000270045	0.03110944978960058	60	720	-2837.7230104912123	-451.3280016727685	173	128	1.2356726468244987	2.3054435436904632	0.24826188111266384	0.23677197324368604	0.27784178289818845	0.23712436274546167	7.3847897634675865	7.255221866381592	173	0.9824547615794068	128	-3261.990984162894	-424.26797367168166
18	-2854.456270655918	61	735	1.7808735039578356	0.025159955581122693	61	735	-2854.456270655918	-455.366439529738	168	125	1.3080663343334589	2.412460080151208	0.2396108856281765	0.25527227017659004	0.25712144955007016	0.24799539464516343	6.236182019239616	8.387681056842117	168	1.3450026043121872	125	-3296.10127390585	-441.6450032499318
19	-2811.159337081033	60	710	1.750608701694321	0.03206051681992442	60	710	-2811.159337081033	-432.6250015687047	157	109	1.1535276567487938	2.455061020436644	0.22933992996292527	0.24584972368303354	0.2859688959842016	0.2388414503698395	7.334480789263818	7.548997443165351	157	1.0292476945628573	109	-3221.63164560217	-410.472308521137
20	-2795.136651494316	71	704	1.8261008825722214	0.03808041136224144	71	704	-2795.136651494316	-491.3063841209795	165	126	1.4400736700028403	2.180921233528036	0.2383733270849318	0.2555334197874295	0.24550693006836338	0.26058632305927526	9.48040685277119	7.6517377732623295	165	0.8071106959956758	126	-3251.764833584357	-456.6281820900406
21	-2832.9581105066445	67	723	1.8452298740101467	0.0271641099880691	67	723	-2832.9581105066445	-473.89741634224777	166	123	1.3451632178085868	2.21398159151595	0.21498206180672713	0.27668409102859187	0.24659384707459542	0.26174000009008547	7.905491441733971	8.149921237328524	166	1.0309189880725418	123	-3279.7795251302578	-446.82141462361346
22	-2839.3879612517453	57	715	2.0442441969188074	0.027415733148742842	57	715	-2839.3879612517453	-414.98914908970505	157	105	1.395416188070965	2.2368724051812543	0.20804243550576376	0.26775272169003583	0.27091381642556933	0.25329102637863105	8.043967781982586	7.751804753912122	157	0.9636792394016209	105	-3230.049628300989	-390.6616670492434
23	-2820.907511958821	59	718	2.013392039509163	0.02842348336889464	59	718	-2820.907511958821	-430.79662415923053	158	112	1.4764591427184688	2.6135485412668604	0.2171008647602034	0.23586975439443797	0.28270974466576376	0.26431963617959475	5.89521032539586	7.977353974812864	158	1.3531924281729828	112	-3235.423728258367	-414.51621629954604
24	-2833.741594129134	60	715	2.1026671486506308	0.027255393601076056	60	715	-2833.741594129134	-436.10382257925875	159	111	1.0937764532501288	2.607417294786754	0.2477522487621849	0.23759574993509622	0.32262411789695195	0.1920278834057669	5.607189698727952	7.713054039090319	159	1.3755650251747509	111	-3257.7271606345853	-423.98556650545146
25	-2813.201286413662	55	705	2.452942252717998	0.025128778644599507	55	705	-2813.201286413662	-419.9837526464669	165	121	1.2432352586153994	2.309149762724939	0.2477522487621849	0.23759574993509622	0.32262411789695195	0.1920278834057669	7.861634206350401	7.874000837497528	165	1.001573035684761	121	-3199.9883543974474	-386.7870679837857
26	-2840.309748563501	59	726	1.9213269264848787	0.033460564499878845	59	726	-2840.309748563501	-422.54228610546994	160	108	1.0679360112138396	2.5626388365180617	0.2727611947449166	0.26157946473704397	0.2542475161500135	0.21141182436802602	8.391257482391488	7.880062792746112	160	0.9390800853485803	108	-3230.3304292935227	-390.0206807300216
